OID_,Value,Count,EPA_L3_R,LC16_BPS_200,US_L3CODE,L3_KEY,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR
14913,14913,124,156,1749,34,34  Western Gulf Coastal Plain,14340_36,Texas-Louisiana Coastal Prairie,3,NA,NA,3.000000000000000
14914,14914,52,154,11,34,34  Western Gulf Coastal Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14915,14915,8,154,1761,34,34  Western Gulf Coastal Plain,14900_36,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,27,NA,NA,27.000000000000000
14916,14916,1347,598,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14917,14917,777,598,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14918,14918,339,584,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14919,14919,374,584,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14920,14920,42,654,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14921,14921,5,654,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14922,14922,5,653,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14923,14923,47,653,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14924,14924,6,653,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
14925,14925,1041,652,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14926,14926,638,658,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14927,14927,293,651,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14928,14928,21,650,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14929,14929,936,650,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14930,14930,165,649,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14931,14931,76,648,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14932,14932,102,648,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14933,14933,17,647,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14934,14934,97,647,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14935,14935,553,652,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14936,14936,135,646,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14937,14937,58,645,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14938,14938,789,644,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14939,14939,33,651,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14940,14940,48,643,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14941,14941,221,642,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14942,14942,1191,641,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14943,14943,64,642,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14944,14944,3,642,1514,73,73  Mississippi Alluvial Plain,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,994,NA,681,404.000000000000000
14945,14945,2,642,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
14946,14946,15,643,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14947,14947,857,640,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14948,14948,242,639,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14949,14949,67,638,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14950,14950,928,637,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14951,14951,42,638,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14952,14952,218,637,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14953,14953,29,636,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14954,14954,19,636,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14955,14955,9,641,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14956,14956,670,635,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14957,14957,92,634,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14958,14958,24,634,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14959,14959,210,639,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14960,14960,6,637,1514,73,73  Mississippi Alluvial Plain,14800_45_98,Gulf and Atlantic Coastal Plain Swamp Systems,994,NA,681,404.000000000000000
14961,14961,25,633,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14962,14962,212,632,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14963,14963,23,633,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14964,14964,45,632,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14965,14965,43,631,11,73,73  Mississippi Alluvial Plain,NA,Open Water,NA,NA,NA,0.000000000000000
14966,14966,2,634,1512,73,73  Mississippi Alluvial Plain,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,115,NA,100,53.000000000000000
14967,14967,18,631,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
14968,14968,122,630,1515,73,73  Mississippi Alluvial Plain,14900_37_98,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,11,NA,NA,11.000000000000000
