l3code,bps_mode,mfri_all,count
4,11270_7_8_9,212,9
4,11360_6,209,24
4,11380_6,16,769
4,11520_2_3_7,35,387965
4,11520_4_5,43,3749
4,11520_6,46,400323
4,11530_6_10_12_13_17_,1024,147
4,11530_7_8_9,1019,8241
4,11540_1_7_8_9,99,165647
4,11540_6_12_16_17,378,84834
4,11560_1_2_7,749,433023
4,11570_1_2,0,19194
4,11581_1_2_7,865,757846
4,11582_1_2_7,155,218977
4,11650_1_7_8,54,5972
4,11670_1_7_9,56,404834
4,11700_2_3_7,13,329
4,11710_1,504,73031
4,11710_7,203,3020
4,11720_7,24,105944
4,11730_1_7,497,13931
4,11740_1_7,160,6928327
4,11780_1_2_7,0,620956
5,10110_6_10_12_17_18_,31,374938
5,10140_4_5,8,35621
5,10170_6_7_8_9_12_18,169,1045
5,10190_13_14,157,35668
5,10190_4,203,1843
5,10190_6_7_9_12_16_17,440,562243
5,10200_6_9_12_17,143,25548
5,10210_2_3_6_7,9,1
5,10270_4_5_6,11,5625647
5,10280_4_6_7_12,17,8707008
5,10290_2_3_4_5_6_7_12,8,2790789
5,10300_2_3_4_5_6_7,10,1208458
5,10310_2_3_4_5_6_12,9,8489094
5,10321_6,34,4027343
5,10322_6,52,5816908
5,10330_12,64,16892
5,10330_3_6_7,258,2445525
5,10340_4_6_7,68,50225
5,10430_5,9,1
5,10431_2_3_6_7,14,72373
5,10440_3_6_7,327,31088
5,10510_6,11,1402
5,10520_12,33,298
5,10520_13,39,126
5,10540_13_14,15,475
5,10570_12_16,143,24851
5,10580_12,36,26393
5,10581_6,36,706512
5,10582_6,26,322033
5,10610_6,36,89242
5,10620_13,69,456
5,10620_6_12_17_18,69,234382
5,10670_6,526,51686
5,10710_6,228,97815
5,10790_13,87,2
5,10790_6_9_10_12_16_1,84,206501
5,10800_13_14,111,4129
5,10803_6_12_15_16_17_,151,36597
5,10804_6_12_15_16_17_,120,590054
5,10810_6_12_13_17,1978,12954
5,10820_12_15_16_17_23,815,14496
5,10820_4_13,399,400567
5,10820_6,516,257360
5,10870_4_6_12_13_14_1,329,93119
5,10880_4_5,0,2308
5,10970_3_6_7,54,24924
5,10970_4_5,79,13460
5,10980_4,39,6267
5,10980_6,34,569654
5,11030_6_7_12_13_16_1,50,379469
5,11050_3_6_7,74,1367652
5,11050_4_5,50,1949
5,11070_13,39,79
5,11080_4_5_13_14_15_2,81,40611
5,11100_4,51,61598
5,11120_4_5,11,51829
5,11130_4,13,86
5,11140_3_6_7,9,2573158
5,11140_4_5,12,11656
5,11180_4,16,33470
5,11240_10_12_17_18_19,201,26
5,11250_6_12_13_15_16_,117,1970
5,11260_6_12_17_18_28,49,1233531
5,11270_10_12_13_17_18,225,8464
5,11290_4_5,4,6
5,11350_7_8_9_10_12_17,81,1346
5,11360_6,209,41066
5,11370_3_6,32,58148
5,11380_3_5,64,1
5,11380_6,16,17702
5,11450_13,32,325
5,11520_4_5,43,11830
5,11520_6,46,2082491
5,11530_6_10_12_13_17_,1024,2263
5,11540_13,68,2299
5,11540_6_12_16_17,378,483085
5,11552_13_14_15,735,16833
5,11590_12_17,379,33
5,11600_12_17,61,695
6,10080_1_2_3_7,10,6067
6,10140_4_5,8,8539888
6,10150_2_3_4,30,1909308
6,10170_6_7_8_9_12_18,169,431
6,10180_1_7,65,78
6,10190_4,203,1304
6,10190_6_7_9_12_16_17,440,6692
6,10210_2_3_6_7,9,44910
6,10270_2_3_7,8,877905
6,10270_4_5_6,11,281557
6,10280_2_3,15,9048
6,10280_4_6_7_12,17,11996
6,10290_2_3_4_5_6_7_12,8,1023746
6,10300_2_3_4_5_6_7,10,392696
6,10310_2_3_4_5_6_12,9,51057
6,10310_7,19,2955
6,10320_2_3_7,25,11
6,10322_6,52,1
6,10340_4_6_7,68,150295
6,10370_1_2_7,80,248
6,10390_1_2_3_7,404,4
6,10430_5,9,12396
6,10431_2_3_6_7,14,157743
6,10432_2_3,40,1
6,10531_1_7_8_9,14,484
6,10532_7_9,47,116
6,10600_1_2_7,28,4656
6,10804_6_12_15_16_17_,120,7316
6,10810_6_12_13_17,1978,3
6,10820_4_13,399,3212
6,10820_6,516,115
6,10870_4_6_12_13_14_1,329,16877
6,10880_4_5,0,2023881
6,10920_4,150,2340898
6,10960_3,108,3955
6,10960_4,124,17849
6,10970_3_6_7,54,1155951
6,10970_4_5,79,1462146
6,10980_3,34,227947
6,10980_4,39,39912
6,10980_6,34,82281
6,10980_7,34,703
6,10990_3,80,43775
6,10990_4,81,79413
6,11030_6_7_12_13_16_1,50,18653
6,11050_3_6_7,74,6347079
6,11050_4_5,50,9138594
6,11080_4_5_13_14_15_2,81,3505224
6,11100_4,51,291206
6,11120_4_5,11,1811853
6,11130_3,13,1092011
6,11130_4,13,2579746
6,11140_3_6_7,9,12667433
6,11140_4_5,12,13793963
6,11180_4,16,488193
6,11260_6_12_17_18_28,49,6242
6,11280_2_3_4,110,761597
6,11290_4_5,4,3941472
6,11300_3_4,7,9253
6,11310_2_3_4,2,297308
6,11380_3_5,64,237564
6,11510_4_5,0,683781
6,11520_2_3_7,35,1060714
6,11520_4_5,43,1878904
6,11520_6,46,510742
6,11530_6_10_12_13_17_,1024,320
6,11530_7_8_9,1019,89
6,11540_1_7_8_9,99,2030
6,11540_6_12_16_17,378,372020
6,11550_4,23,5
6,11560_1_2_7,749,681
6,11581_1_2_7,865,367
6,11582_1_2_7,155,223
6,11630_3_4_5,11,217368
6,11730_1_7,497,1
6,11770_3,22,107
6,11770_4,36,16059
7,10140_4_5,8,83992
7,10270_4_5_6,11,16
7,10290_2_3_4_5_6_7_12,8,161
7,10300_2_3_4_5_6_7,10,34
7,10340_4_6_7,68,7
7,10430_5,9,2328
7,10804_6_12_15_16_17_,120,4
7,10820_4_13,399,6
7,10820_6,516,3
7,10870_4_6_12_13_14_1,329,3080
7,10880_4_5,0,18033349
7,10920_4,150,16312
7,10970_3_6_7,54,1469
7,10970_4_5,79,7758
7,10980_4,39,169
7,10980_6,34,2
7,10990_4,81,8
