epa_value,bps_model,mfri_all,count
394,10472_10_19,315,11008
394,10490_19_20_21_23_28_29,385,427
394,10530_10_19,13,1950
394,10550_10_19,137,201951
394,10560_10_19,181,5888518
394,10700_10_19_28,228,49
394,10800_10_19,80,6
394,11060_10_19,82,7035
394,11150_10_19,189,8
394,11250_1_7_8_9_10_19,59,373
394,11260_1_7_8_9_10_19,31,4154
394,11390_10_19,17,8332
394,11400_10_19,146,242
394,11430_9_19_21_28,525,1
394,11450_9_10_19,32,3828
394,11540_10_19,173,8
394,11590_10_19,50,512758
394,11600_10_19,80,13475
394,11610_9_10_19,386,26562
394,11660_9_10_19,27,64650
394,11662_19,18,680
394,11670_10_19,295,626
395,10090_19,69,435
395,10110_20_29,100,5
395,10110_6_10_12_17_18_19,31,11416
395,10451_10_19,19,278670
395,10451_20,20,13
395,10452_10_19,37,103920
395,10453_10_19,72,303
395,10454_20,77,21
395,10460_10_19_20,184,696083
395,10490_19_20_21_23_28_29,385,9306
395,10530_10_19,13,306
395,10550_10_19,137,657449
395,10560_10_19,181,543374
395,10620_10_19_21_29_31,69,1
395,10700_10_19_28,228,9
395,10800_10_19,80,3414
395,10810_18_19_21,1140,3
395,11060_10_19,82,36148
395,11150_10_19,189,6
395,11250_1_7_8_9_10_19,59,1641
395,11260_1_7_8_9_10_19,31,4883
395,11390_10_19,17,112224
395,11400_10_19,146,1375
395,11410_20,12,5
395,11440_12_16_19_28,207,117
395,11450_9_10_19,32,32119
395,11530_6_10_12_13_17_18_19_21,1024,2
395,11590_10_19,50,123826
395,11590_20,53,3
395,11600_10_19,80,77345
395,11610_9_10_19,386,16144
395,11660_9_10_19,27,342262
395,11662_19,18,6010
395,11670_10_19,295,8360
396,10090_19,69,3
396,10110_6_10_12_17_18_19,31,2529
396,10451_10_19,19,161776
396,10452_10_19,37,116326
396,10453_10_19,72,4483
396,10460_10_19_20,184,343053
396,10470_10_19,80,5774
396,10472_10_19,315,276
396,10490_19_20_21_23_28_29,385,260
396,10530_10_19,13,268
396,10550_10_19,137,80038
396,10560_10_19,181,682420
396,10700_10_19_28,228,1
396,10800_10_19,80,9
396,11060_10_19,82,1320
396,11150_10_19,189,11
396,11250_1_7_8_9_10_19,59,104
396,11260_1_7_8_9_10_19,31,250
396,11390_10_19,17,1335
396,11400_10_19,146,81
396,11450_9_10_19,32,2774
396,11590_10_19,50,89199
396,11600_10_19,80,8229
396,11610_9_10_19,386,5964
396,11660_9_10_19,27,83875
396,11662_19,18,70
396,11670_10_19,295,29
397,10130_31_38_39_40,17,13829
397,11410_39,8,11077310
397,11410_40,8,10748303
397,11500_31_39_40,5,431479
397,11620_31_39_40,51,10989
397,13850_31_39_40_42,32,260639
397,13940_39_40_41,5,62
397,14200_39_40_42,6,20686
397,14690_31_39_40_43,48,109
397,14820_39_40,50,18
397,14950_31_39_40,20,2030475
398,10130_31_38_39_40,17,757
398,10850_29_30,15,5
398,11250_20_29_30_31_33,92,76
398,11410_29_30,13,392940
398,11410_39,8,272893
398,11410_40,8,3360861
398,11480_20_29_30,22,20919
398,11500_31_39_40,5,64678
398,11620_29_30,51,48260
398,11620_31_39_40,51,33743
398,13850_29_30,19,1944
398,13850_31_39_40_42,32,47957
398,14200_39_40_42,6,13
398,14820_30,50,30766
398,14950_30,50,5
398,14950_31_39_40,20,472173
399,10130_31_38_39_40,17,2590
399,10850_29_30,15,10009
399,11250_20_29_30_31_33,92,5
399,11410_29_30,13,2704879
399,11410_39,8,4977190
399,11410_40,8,6546699
399,11500_31_39_40,5,299718
399,11620_29_30,51,406408
399,11620_31_39_40,51,16147
399,13110_39,13,36
399,13140_38_39_40_41_42_43_44_50,467,1
399,13850_29_30,19,66429
399,13850_31_39_40_42,32,195055
399,13940_39_40_41,5,41
399,14120_39_40_41_42_43_50_51,3,1
399,14200_39_40_42,6,37
399,14690_31_39_40_43,48,6
399,14820_30,50,384778
399,14950_30,50,362
399,14950_31_39_40,20,539586
400,10850_29_30,15,1
400,11250_20_29_30_31_33,92,4
400,11410_29_30,13,1392968
400,11410_40,8,2717946
400,11480_20_29_30,22,1303
400,11500_31_39_40,5,100050
400,11620_29_30,51,1243
400,11620_31_39_40,51,81
400,13850_29_30,19,105
400,13850_31_39_40_42,32,47027
400,14200_39_40_42,6,703
400,14820_30,50,193626
400,14950_30,50,2
400,14950_31_39_40,20,150303
401,10130_31_38_39_40,17,139251
401,11410_39,8,6163835
401,11500_31_39_40,5,16307
401,11620_31_39_40,51,87103
401,13140_38_39_40_41_42_43_44_50,467,15477
401,13310_39_40_41,6,260
401,13850_31_39_40_42,32,4891
401,14200_39_40_42,6,106
401,14690_31_39_40_43,48,300
401,14820_39_40,50,38
401,14950_31_39_40,20,352585
402,10130_31_38_39_40,17,603697
402,11410_39,8,12150540
402,11500_31_39_40,5,74059
402,11620_31_39_40,51,135900
402,13110_39,13,4
402,13140_38_39_40_41_42_43_44_50,467,23959
402,13310_39_40_41,6,303
402,13850_31_39_40_42,32,16035
402,13940_39_40_41,5,1
402,14200_39_40_42,6,119
402,14690_31_39_40_43,48,225
402,14820_39_40,50,3566
402,14950_31_39_40,20,313093
403,10130_31_38_39_40,17,1120140
403,10940_31_38,23,3898
403,11320_31_38,8,367530
403,11410_31,8,27845
403,11480_31_38,4,513859
403,11500_31_39_40,5,148018
403,11620_31_39_40,51,524205
403,11790_31,14,176
403,13850_31_39_40_42,32,8912
403,14210_31_38_42_43_44_50_51,4,361761
403,14950_31_39_40,20,107813
404,10130_31_38_39_40,17,1633610
404,10940_31_38,23,1600
404,11320_31_38,8,567732
404,11410_31,8,20134
404,11410_39,8,334015
404,11480_31_38,4,185865
404,11500_31_39_40,5,98035
404,11620_31_39_40,51,469029
404,11790_31,14,305
404,13110_39,13,41
404,13140_38_39_40_41_42_43_44_50,467,9568
404,13310_39_40_41,6,683
404,13850_31_39_40_42,32,18905
404,13940_39_40_41,5,31
404,14200_39_40_42,6,503
404,14210_31_38_42_43_44_50_51,4,536138
404,14690_31_39_40_43,48,13259
404,14820_39_40,50,443
404,14950_31_39_40,20,24493
405,10850_29_30,15,23557
405,11250_20_29_30_31_33,92,1648
405,11410_20,12,16
405,11410_29_30,13,20580710
405,11480_20_29_30,22,52116
405,11530_20_22_29_30,207,17236
405,11620_29_30,51,1753714
405,11791_29_30,18,12
405,11792_29_30,15,11
405,13850_29_30,19,351666
405,14820_30,50,30060
405,14950_30,50,6209
406,10110_20_29,100,45
406,10451_20,20,1773
406,10540_20,14,40814
406,10610_20_29,54,8
406,10850_20,30,2440290
406,10850_29_30,15,2279
406,11170_20,14,9108
406,11250_20_29_30_31_33,92,1135218
406,11390_20,20,5
406,11410_20,12,20426197
406,11410_29_30,13,4317397
406,11480_20_29_30,22,289157
406,11530_20_22_29_30,207,167053
406,11590_20,53,368132
406,11600_20_29,151,4708
406,11620_20,57,3044227
406,11620_29_30,51,246152
406,11791_29_30,18,72
406,11792_29_30,15,114
406,13850_20,19,27187
406,13850_29_30,19,78582
406,14820_30,50,12
406,14950_20,50,208654
406,14950_30,50,5941
407,10850_29_30,15,230
407,11250_20_29_30_31_33,92,2
407,11410_29_30,13,1041947
407,11480_20_29_30,22,1
407,11620_29_30,51,36282
407,13850_29_30,19,5597
407,14820_30,50,15009
407,14950_30,50,1
408,10451_20,20,18
408,10454_20,77,1
408,10490_19_20_21_23_28_29,385,3
408,10540_20,14,117
408,10850_20,30,52686
408,11060_20_21_29,79,5
408,11170_20,14,49
408,11250_20_29_30_31_33,92,17
408,11390_20,20,90575
408,11410_20,12,301822
408,11590_20,53,27850
408,11600_20_29,151,3797
408,11620_20,57,29050
408,13850_20,19,5
408,14950_20,50,6092
409,10540_20,14,9
409,10850_20,30,67945
409,11170_20,14,14
409,11250_20_29_30_31_33,92,426
409,11410_20,12,1963482
409,11480_20_29_30,22,776
409,11530_20_22_29_30,207,4
409,11590_20,53,320187
409,11600_20_29,151,6416
409,11620_20,57,199769
409,13850_20,19,36
409,14950_20,50,111824
410,10451_20,20,61
410,10490_19_20_21_23_28_29,385,1
410,10540_20,14,248
410,10850_20,30,30114
410,11170_20,14,40
410,11390_20,20,79322
410,11410_20,12,570739
410,11590_20,53,10790
410,11600_20_29,151,36606
410,11620_20,57,5186
410,13850_20,19,16
410,14950_20,50,529
411,10090_19,69,71
411,10110_20_29,100,21
411,10110_6_10_12_17_18_19,31,211
411,10451_10_19,19,755
411,10451_20,20,360
411,10454_20,77,2
411,10490_19_20_21_23_28_29,385,28
411,10530_10_19,13,1456
411,10540_20,14,4558
411,10550_10_19,137,68
411,10560_10_19,181,10
411,10800_10_19,80,12
411,10850_20,30,1094251
411,11060_10_19,82,1
411,11060_20_21_29,79,3
411,11170_20,14,1630
411,11250_1_7_8_9_10_19,59,27543
411,11250_20_29_30_31_33,92,1391114
411,11260_20_29_33,50,10
411,11390_10_19,17,98717
411,11390_20,20,110814
411,11410_20,12,26728333
411,11440_12_16_19_28,207,8
411,11480_20_29_30,22,6458
411,11530_20_22_29_30,207,939
411,11530_6_10_12_13_17_18_19_21,1024,14215
411,11590_10_19,50,51779
411,11590_20,53,1354952
411,11600_20_29,151,44071
411,11620_20,57,1237360
411,11660_9_10_19,27,237
411,11662_19,18,129
411,13850_20,19,1590
411,14950_20,50,5892
412,10130_31_38_39_40,17,153604
412,10940_31_38,23,2226
412,11320_31_38,8,387786
412,11410_31,8,267227
412,11480_31_38,4,1688904
412,11500_31_39_40,5,824315
412,11620_31_39_40,51,525841
412,11620_38,51,166
412,13850_31_39_40_42,32,2711
412,14210_31_38_42_43_44_50_51,4,157218
412,14690_31_39_40_43,48,425
412,14950_31_39_40,20,12830
412,14950_38,20,107
413,10090_19,69,202
413,10110_20_29,100,153
413,10110_6_10_12_17_18_19,31,6445
413,10451_10_19,19,32138
413,10451_20,20,2544
413,10452_10_19,37,2756
413,10453_10_19,72,267
413,10454_20,77,626
413,10460_10_19_20,184,154
413,10470_10_19,80,607
413,10490_19_20_21_23_28_29,385,870
413,10530_10_19,13,43
413,10540_20,14,1183
413,10550_10_19,137,5805
413,10560_10_19,181,15969
413,10610_20_29,54,96
413,10800_10_19,80,56493
413,10850_20,30,214858
413,11060_10_19,82,950
413,11060_20_21_29,79,96
413,11150_10_19,189,20
413,11170_20,14,333
413,11250_1_7_8_9_10_19,59,9900
413,11260_1_7_8_9_10_19,31,287
413,11390_10_19,17,575581
413,11390_20,20,790132
413,11400_10_19,146,49
413,11400_20,79,1041
413,11410_20,12,459870
413,11440_12_16_19_28,207,9953
413,11450_20,84,1
413,11450_9_10_19,32,2789
413,11530_6_10_12_13_17_18_19_21,1024,255
413,11590_10_19,50,76687
413,11590_20,53,167036
413,11600_10_19,80,172203
413,11600_20_29,151,43132
413,11610_9_10_19,386,331
413,11620_20,57,31093
413,11660_9_10_19,27,14407
413,11662_19,18,8089
413,13850_20,19,369
413,14950_20,50,502
414,10090_19,69,649
414,10110_20_29,100,6181
414,10110_6_10_12_17_18_19,31,5429
414,10451_10_19,19,70362
414,10451_20,20,34717
414,10452_10_19,37,650
414,10453_10_19,72,22
414,10454_20,77,32172
414,10460_10_19_20,184,67
414,10470_10_19,80,13
414,10472_10_19,315,4
414,10490_19_20_21_23_28_29,385,3952
414,10530_10_19,13,30195
414,10540_20,14,76039
414,10550_10_19,137,13266
414,10550_20,100,19
414,10560_10_19,181,24004
414,10610_20_29,54,1040
414,10620_10_19_21_29_31,69,23
414,10800_10_19,80,55519
414,10850_20,30,1405429
414,11060_10_19,82,13688
414,11060_20_21_29,79,26763
414,11150_10_19,189,1
414,11170_20,14,44739
414,11250_1_7_8_9_10_19,59,21448
414,11250_20_29_30_31_33,92,120311
414,11260_1_7_8_9_10_19,31,3761
414,11260_20_29_33,50,12
414,11390_10_19,17,1112243
414,11390_20,20,2360290
414,11400_10_19,146,121
414,11400_20,79,33136
414,11410_20,12,5402648
414,11440_12_16_19_28,207,10243
414,11450_20,84,2238
414,11450_9_10_19,32,1872
414,11480_20_29_30,22,1199
414,11530_20_22_29_30,207,32
414,11530_6_10_12_13_17_18_19_21,1024,3808
414,11590_10_19,50,155193
414,11590_20,53,735330
414,11600_10_19,80,110515
414,11600_20_29,151,126186
414,11610_9_10_19,386,232
414,11620_20,57,304123
414,11660_9_10_19,27,26135
414,11662_19,18,27485
414,11670_10_19,295,7
414,13850_20,19,5462
414,14950_20,50,2137
415,10490_19_20_21_23_28_29,385,3
415,10850_29_30,15,100030
415,11250_20_29_30_31_33,92,119383
415,11400_29,79,5
415,11410_29_30,13,58015108
415,11450_29,84,20
415,11480_20_29_30,22,153262
415,11490_29,21,46
415,11530_20_22_29_30,207,1745
415,11620_29_30,51,6975608
415,11791_29_30,18,37535
415,11792_29_30,15,47225
415,13850_29_30,19,1658714
415,14820_30,50,1474
415,14950_30,50,839759
416,10850_29_30,15,102801
416,11250_20_29_30_31_33,92,50854
416,11410_29_30,13,5374220
416,11480_20_29_30,22,25
416,11530_20_22_29_30,207,247
416,11620_29_30,51,539697
416,11791_29_30,18,26192
416,11792_29_30,15,32600
416,13850_29_30,19,672687
416,14820_30,50,41
416,14950_30,50,252
417,10130_31_38_39_40,17,877638
417,10451_20,20,1454
417,10490_19_20_21_23_28_29,385,305
417,10540_20,14,105930
417,10850_20,30,880383
417,10850_29_30,15,202749
417,10940_31_38,23,5677
417,11170_20,14,22138
417,11250_20_29_30_31_33,92,1396554
417,11320_31_38,8,816385
417,11400_29,79,1
417,11410_20,12,1493506
417,11410_29_30,13,16637408
417,11410_31,8,4968269
417,11410_39,8,2492694
417,11410_40,8,849094
417,11450_29,84,3
417,11480_20_29_30,22,242359
417,11480_31_38,4,6099
417,11490_29,21,1
417,11490_31_33,21,1910
417,11500_31_39_40,5,233627
417,11530_20_22_29_30,207,90622
417,11590_20,53,16
417,11600_20_29,151,2
417,11620_20,57,67002
417,11620_29_30,51,1980879
417,11620_31_39_40,51,1110788
417,11790_31,14,5582
417,11791_29_30,18,93921
417,11792_29_30,15,284998
417,13110_39,13,343
417,13140_38_39_40_41_42_43_44_50,467,6594
417,13310_39_40_41,6,300
417,13850_20,19,3171
417,13850_29_30,19,777425
417,13850_31_39_40_42,32,1705508
417,13940_39_40_41,5,319
417,14120_39_40_41_42_43_50_51,3,3
417,14210_31_38_42_43_44_50_51,4,4516
417,14690_31_39_40_43,48,443
417,14820_30,50,1159
417,14950_20,50,413
417,14950_30,50,28978
417,14950_31_39_40,20,56749
418,10490_19_20_21_23_28_29,385,5
418,10850_29_30,15,801
418,11250_20_29_30_31_33,92,2988
418,11410_29_30,13,868080
418,11480_20_29_30,22,86
418,11620_29_30,51,43825
418,11791_29_30,18,186741
418,11792_29_30,15,72262
418,13850_29_30,19,26731
418,14950_30,50,118
419,10490_19_20_21_23_28_29,385,32
419,10540_20,14,15296
419,10540_29,18,59
419,10660_29,440,269
419,10850_20,30,824832
419,10850_29_30,15,53949
419,11170_20,14,8687
419,11250_20_29_30_31_33,92,4498408
419,11260_20_29_33,50,6
419,11410_20,12,2188647
419,11410_29_30,13,9411954
419,11450_29,84,2
419,11480_20_29_30,22,17227
419,11490_29,21,5
419,11530_20_22_29_30,207,1537
419,11590_20,53,1
419,11600_20_29,151,6
419,11620_20,57,90522
419,11620_29_30,51,853818
419,11791_29_30,18,19772
419,11792_29_30,15,96393
419,13850_20,19,128
419,13850_29_30,19,15836
419,14820_30,50,1
419,14950_20,50,34
419,14950_30,50,1676
420,10130_31_38_39_40,17,1355862
420,10850_29_30,15,175
420,10940_31_38,23,24776
420,11250_20_29_30_31_33,92,369
420,11320_31_38,8,3871895
420,11410_29_30,13,3546972
420,11410_31,8,9411866
420,11480_31_38,4,45496
420,11490_31_33,21,16
420,11500_31_39_40,5,42229
420,11620_29_30,51,63715
420,11620_31_39_40,51,2569906
420,11790_31,14,4911
420,11791_29_30,18,14806
420,11792_29_30,15,12254
420,13850_29_30,19,48926
420,13850_31_39_40_42,32,242038
420,14210_31_38_42_43_44_50_51,4,41642
420,14690_31_39_40_43,48,3
420,14950_30,50,19896
420,14950_31_39_40,20,259385
421,10490_19_20_21_23_28_29,385,43
421,10540_29,18,822
421,10620_10_19_21_29_31,69,41
421,10660_29,440,76
421,10850_29_30,15,91105
421,10860_27_31_33,46,9861
421,10860_29,106,339
421,10940_31_38,23,389484
421,11060_20_21_29,79,12
421,11170_29,15,1
421,11250_20_29_30_31_33,92,2028970
421,11260_20_29_33,50,65
421,11320_31_38,8,2486789
421,11390_29,35,217
421,11400_29,79,28
421,11410_29_30,13,5977765
421,11410_31,8,3928986
421,11450_29,84,85
421,11480_20_29_30,22,384390
421,11480_31_38,4,48824
421,11490_29,21,959805
421,11490_31_33,21,717083
421,11530_20_22_29_30,207,41796
421,11590_29,54,14526
421,11620_29_30,51,490716
421,11620_31_39_40,51,1516416
421,11790_31,14,64285
421,11791_29_30,18,8601
421,11792_29_30,15,190186
421,13850_29_30,19,5993
421,13850_31_39_40_42,32,440810
421,14210_31_38_42_43_44_50_51,4,648
421,14690_31_39_40_43,48,219
421,14820_30,50,1
421,14950_30,50,108125
421,14950_31_39_40,20,44985
422,10130_31_38_39_40,17,5458
422,10850_29_30,15,96
422,10940_31_38,23,126703
422,11250_20_29_30_31_33,92,36422
422,11320_31_38,8,714168
422,11410_29_30,13,9977
422,11410_31,8,2150035
422,11480_20_29_30,22,215
422,11480_31_38,4,192736
422,11490_29,21,3027
422,11490_31_33,21,413625
422,11500_31_39_40,5,7208
422,11590_29,54,73
422,11620_29_30,51,278
422,11620_31_39_40,51,774195
422,11790_31,14,26114
422,11792_29_30,15,222
422,13850_31_39_40_42,32,152957
422,14210_31_38_42_43_44_50_51,4,1301
422,14690_31_39_40_43,48,273
422,14950_31_39_40,20,34482
423,10130_31_38_39_40,17,1003203
423,10940_31_38,23,14841
423,11250_20_29_30_31_33,92,759
423,11320_31_38,8,808590
423,11410_31,8,1638110
423,11480_31_38,4,5520888
423,11490_31_33,21,4358
423,11500_31_39_40,5,395477
423,11620_31_39_40,51,1680582
423,11790_31,14,282745
423,13850_31_39_40_42,32,14383
423,14210_31_38_42_43_44_50_51,4,187121
423,14950_31_39_40,20,275973
424,10850_29_30,15,8925
424,11250_20_29_30_31_33,92,206
424,11410_29_30,13,11133961
424,11480_20_29_30,22,1395
424,11530_20_22_29_30,207,258
424,11620_29_30,51,475223
424,11791_29_30,18,12393
424,11792_29_30,15,11415
424,13850_29_30,19,167062
424,14820_30,50,39
424,14950_30,50,19480
425,10850_29_30,15,5227
425,11250_20_29_30_31_33,92,374519
425,11410_29_30,13,3415558
425,11480_20_29_30,22,65321
425,11490_29,21,2328
425,11530_20_22_29_30,207,15345
425,11620_29_30,51,14932
425,11791_29_30,18,5501
425,11792_29_30,15,12666
425,13850_29_30,19,5856
425,14820_30,50,1
425,14950_30,50,58801
426,10110_20_29,100,12
426,10451_20,20,159778
426,10490_19_20_21_23_28_29,385,399
426,10540_20,14,898716
426,10850_20,30,1439916
426,11170_20,14,117369
426,11250_20_29_30_31_33,92,1804193
426,11260_20_29_33,50,13
426,11410_20,12,3836588
426,11480_20_29_30,22,62983
426,11530_20_22_29_30,207,25639
426,11590_20,53,118
426,11620_20,57,516859
426,13850_20,19,1027
426,14950_20,50,324
427,10090_19,69,2
427,10110_20_29,100,1165
427,10110_6_10_12_17_18_19,31,2206
427,10451_10_19,19,8175
427,10451_20,20,4448
427,10454_20,77,4320
427,10490_19_20_21_23_28_29,385,4608
427,10530_10_19,13,310
427,10540_20,14,11828
427,10550_10_19,137,209
427,10560_10_19,181,354
427,10610_20_29,54,96
427,10620_10_19_21_29_31,69,62
427,10800_10_19,80,6856
427,10850_20,30,628475
427,11060_10_19,82,26193
427,11060_20_21_29,79,1364
427,11170_20,14,10083
427,11250_1_7_8_9_10_19,59,72477
427,11250_20_29_30_31_33,92,56973
427,11260_1_7_8_9_10_19,31,344
427,11260_20_29_33,50,52
427,11390_10_19,17,184721
427,11390_20,20,74954
427,11400_10_19,146,7
427,11410_20,12,6269980
427,11440_12_16_19_28,207,56
427,11450_9_10_19,32,231
427,11480_20_29_30,22,33
427,11530_20_22_29_30,207,92
427,11530_6_10_12_13_17_18_19_21,1024,107
427,11590_10_19,50,25648
427,11590_20,53,139734
427,11600_10_19,80,60112
427,11600_20_29,151,6447
427,11610_9_10_19,386,51
427,11620_20,57,926330
427,11660_9_10_19,27,2550
427,11662_19,18,3006
427,11670_10_19,295,18
427,13850_20,19,5835
427,14950_20,50,11308
428,10110_20_29,100,79
428,10110_22,163,33057
428,10160_22,140,1
428,10451_20,20,7951
428,10454_20,77,2144
428,10480_29,29,3
428,10490_16_22,216,2844
428,10490_19_20_21_23_28_29,385,1056
428,10500_22,169,2
428,10510_15_16_17_22_23_24_25,11,4975
428,10540_20,14,217365
428,10540_22,13,2
428,10540_29,18,25831
428,10550_21_22,333,1332
428,10560_21_22,291,10
428,10610_20_29,54,7
428,10620_10_19_21_29_31,69,425
428,10620_22_28,58,17
428,10660_29,440,2
428,10720_22_29,331,88544
428,10801_21_22_28,72,134
428,10802_21_22_28,98,76545
428,10850_20,30,3269516
428,10850_29_30,15,24648
428,10860_29,106,114
428,10861_22,89,56
428,10862_22,106,7
428,11060_20_21_29,79,2
428,11170_20,14,62709
428,11170_29,15,60
428,11250_20_29_30_31_33,92,10496792
428,11260_20_29_33,50,15877
428,11260_22,86,132377
428,11390_20,20,11312
428,11390_22,66,6
428,11390_29,35,357
428,11410_20,12,14858769
428,11410_29_30,13,30219206
428,11450_22_24_28,32,1
428,11450_29,84,4
428,11480_20_29_30,22,701333
428,11490_29,21,242
428,11530_20_22_29_30,207,195608
428,11590_20,53,14545
428,11590_22,61,48247
428,11590_29,54,26458
428,11600_20_29,151,2015
428,11620_20,57,1091428
428,11620_22,103,56029
428,11620_29_30,51,2974947
428,11660_22,32,511
428,11660_29,18,809
428,11791_29_30,18,46752
428,11792_29_30,15,966832
428,13850_20,19,11121
428,13850_29_30,19,14109
428,14820_30,50,2
428,14950_20,50,1233
428,14950_30,50,43
429,10090_19,69,162
429,10110_20_29,100,2582
429,10110_21,110,257
429,10110_6_10_12_17_18_19,31,45
429,10450_21,38,1
429,10451_10_19,19,278
429,10451_20,20,17726
429,10454_20,77,3847
429,10490_19_20_21_23_28_29,385,29323
429,10530_10_19,13,883
429,10540_20,14,90606
429,10540_29,18,2054
429,10550_21_22,333,152
429,10560_21_22,291,13
429,10610_20_29,54,51
429,10620_10_19_21_29_31,69,3
429,10800_10_19,80,27
429,10802_21_22_28,98,6
429,10810_18_19_21,1140,200
429,10850_20,30,1296376
429,10850_29_30,15,7
429,10860_29,106,4
429,11060_10_19,82,94
429,11060_20_21_29,79,292
429,11170_20,14,29244
429,11170_29,15,296
429,11250_1_7_8_9_10_19,59,81
429,11250_20_29_30_31_33,92,212543
429,11260_1_7_8_9_10_19,31,71
429,11260_20_29_33,50,38423
429,11260_21,50,17541
429,11270_21,217,389
429,11390_10_19,17,29371
429,11390_20,20,33521
429,11390_21,32,326
429,11390_29,35,246
429,11410_20,12,7572905
429,11410_29_30,13,441981
429,11450_21,40,84
429,11450_9_10_19,32,216
429,11480_20_29_30,22,105
429,11530_20_22_29_30,207,9174
429,11590_10_19,50,3909
429,11590_20,53,98009
429,11590_21,180,2618
429,11590_29,54,118
429,11600_10_19,80,338
429,11600_20_29,151,33
429,11620_20,57,690212
429,11620_29_30,51,47236
429,11660_21,40,1424
429,11660_9_10_19,27,157
429,11662_19,18,16
429,11791_29_30,18,67
429,11792_29_30,15,46084
429,13850_20,19,22473
429,13850_29_30,19,8
429,14950_20,50,4269
430,10110_20_29,100,189
430,10110_22,163,3
430,10451_20,20,19470
430,10454_20,77,6543
430,10480_29,29,197
430,10490_19_20_21_23_28_29,385,37338
430,10540_20,14,740445
430,10540_29,18,62427
430,10610_20_29,54,7
430,10620_10_19_21_29_31,69,7
430,10660_29,440,3
430,10802_21_22_28,98,4
430,10850_20,30,610779
430,10850_29_30,15,3262
430,10860_29,106,204
430,11170_20,14,121029
430,11170_29,15,576
430,11250_20_29_30_31_33,92,2831246
430,11260_20_29_33,50,545
430,11260_22,86,97
430,11390_20,20,246
430,11390_29,35,275
430,11400_29,79,1
430,11410_20,12,1254633
430,11410_29_30,13,7860220
430,11450_29,84,1
430,11480_20_29_30,22,6285
430,11490_29,21,622
430,11530_20_22_29_30,207,6378
430,11590_20,53,422
430,11590_29,54,56063
430,11620_20,57,212244
430,11620_29_30,51,644484
430,11660_29,18,8680
430,11791_29_30,18,366013
430,11792_29_30,15,3308317
430,13850_20,19,2768
430,13850_29_30,19,87
430,14950_20,50,25
431,10490_19_20_21_23_28_29,385,3138
431,10540_29,18,13718
431,10620_10_19_21_29_31,69,37426
431,10850_29_30,15,3546
431,10860_29,106,25
431,11170_29,15,549
431,11250_20_29_30_31_33,92,448891
431,11260_20_29_33,50,840
431,11390_29,35,68
431,11410_29_30,13,5257466
431,11480_20_29_30,22,8407
431,11530_20_22_29_30,207,14475
431,11590_29,54,112961
431,11620_29_30,51,366451
431,11660_29,18,2930
431,11791_29_30,18,2897
431,11792_29_30,15,373742
431,13850_29_30,19,7
432,10130_31_38_39_40,17,323815
432,10940_31_38,23,1264
432,11250_20_29_30_31_33,92,9
432,11320_31_38,8,59277
432,11410_31,8,6662
432,11480_31_38,4,684348
432,11490_31_33,21,403
432,11500_31_39_40,5,10016
432,11620_31_39_40,51,157243
432,11790_31,14,106202
432,13850_31_39_40_42,32,15162
432,14210_31_38_42_43_44_50_51,4,7949
432,14950_31_39_40,20,2044
433,10090_19,69,377
433,10110_20_29,100,20675
433,10110_21,110,43229
433,10110_22,163,31466
433,10110_6_10_12_17_18_19,31,2770
433,10120_17_18_21,51,7
433,10450_21,38,657
433,10451_10_19,19,76975
433,10451_20,20,56966
433,10452_10_19,37,1
433,10454_20,77,60478
433,10460_10_19_20,184,227
433,10460_21,199,1424
433,10490_16_22,216,3610
433,10490_19_20_21_23_28_29,385,211820
433,10510_15_16_17_22_23_24_25,11,1926
433,10530_10_19,13,4854
433,10540_20,14,92893
433,10540_22,13,80
433,10540_29,18,635
433,10550_10_19,137,22863
433,10550_21_22,333,47078
433,10560_10_19,181,5239
433,10560_21_22,291,8218
433,10610_20_29,54,2240
433,10620_10_19_21_29_31,69,17
433,10620_22_28,58,316
433,10700_10_19_28,228,13
433,10720_22_29,331,29027
433,10800_10_19,80,83632
433,10801_21_22_28,72,12
433,10802_21_22_28,98,31398
433,10810_18_19_21,1140,47
433,10850_20,30,668363
433,10860_29,106,1231
433,10861_22,89,71
433,10862_22,106,8
433,11060_10_19,82,47656
433,11060_20_21_29,79,15146
433,11150_10_19,189,5
433,11170_20,14,17704
433,11170_29,15,67
433,11240_10_12_17_18_19_21,201,3
433,11250_1_7_8_9_10_19,59,79466
433,11250_20_29_30_31_33,92,47347
433,11260_1_7_8_9_10_19,31,28155
433,11260_20_29_33,50,248150
433,11260_21,50,301748
433,11260_22,86,151482
433,11270_21,217,123
433,11390_10_19,17,316665
433,11390_20,20,319920
433,11390_21,32,87176
433,11390_22,66,1
433,11390_29,35,1894
433,11400_10_19,146,4141
433,11400_21,206,384
433,11410_20,12,1525568
433,11410_29_30,13,176967
433,11440_12_16_19_28,207,5
433,11450_21,40,1956
433,11450_22_24_28,32,2
433,11450_9_10_19,32,82455
433,11480_20_29_30,22,56
433,11530_20_22_29_30,207,5204
433,11530_6_10_12_13_17_18_19_21,1024,596
433,11590_10_19,50,29807
433,11590_20,53,99338
433,11590_21,180,44139
433,11590_22,61,36814
433,11590_29,54,124
433,11600_10_19,80,68834
433,11600_20_29,151,2516
433,11600_21,299,5683
433,11610_21,401,612
433,11610_9_10_19,386,2332
433,11620_20,57,249075
433,11620_22,103,19
